new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
"telecomm / java / android / telecomm / Connection . java \n + case State . INITIALIZING : \n + return "" INITIALIZING "" ; \n",Fix WTF when creating a lazily initialized connection,repo67
rename from examples / seneca / bug662 / binary . html \n rename to examples / seneca / bug662 / test1 . html \n,renamed test .,repo383
modules / apps / foundation / microsoft - translator / microsoft - translator / bnd . bnd \n - Bundle - Version : 1 . 0 . 0 \n + Bundle - Version : 1 . 0 . 1 \n,ignore microsoft - translator 1 . 0 . 0 prep next,repo934
lib / nokogiri / version . rb \n - VERSION = ' 1 . 0 . 5 ' \n + VERSION = ' 1 . 0 . 6 ' \n,bumping up version,repo105
twidere / build . gradle \n - versionCode 233 \n - versionName ' 3 . 3 . 15 ' \n + versionCode 234 \n + versionName ' 3 . 3 . 16 ' \n,updated version,repo901
CHANGELOG . md \n + * STORM - 1499 : fix wrong package name for storm trident \n,add STORM - 1499 to CHANGELOG . md,repo137
Binary files a / webcollector_design . png and b / webcollector_design . png differ \n,add design,repo922
new file \n Binary files / dev / null and b / examples / Artbook / screenshots / freeflow . png differ \n,Added a screenshot of the app in action ( without images ),repo253
core / jni / Android . mk \n - android_bluetooth_ScoSocket . cpp \ \n,deleted android_bluetooth_ScoSocket . cpp from makefile,UNKNOWN
perl / README . pod \n - Perl port of the [ ua - parser ] ( https : / / github . com / tobie / ua - parser ) project . \n + Perl port of the ua - parser project . \n + L < https : / / github . com / tobie / ua - parser > \n,fixing README,repo397
python / helpers / pydev / pydevd . py \n - # sys . exitfunc = exit_hook \n - import atexit \n - atexit . register ( exit_hook ) \n + sys . exitfunc = exit_hook \n,"don ' t use atexit , causes problems .",repo145
"new file \n OsmAnd / res / values - uz / phrases . xml \n + < ? xml version = "" 1 . 0 "" encoding = "" utf - 8 "" ? > \n + < resources > < / resources > \n",Added translation using Weblate ( Uzbek ),repo960
pom . xml \n - < tagNameFormat > netty - $ { project . version } < / tagNameFormat > \n + < tagNameFormat > netty - @ { project . version } < / tagNameFormat > \n,Use the release version rather than the snapshot version when tagging,repo27
hazelcast - client / src / main / java / com / hazelcast / client / spi / ProxyManager . java \n - private class ClientProxyFuture { \n + private static class ClientProxyFuture { \n,changed the inner class to static,repo394
build . gradle \n - classpath ' io . freefair : gradle - plugins : 0a610f7 ' \n + classpath ' io . freefair : gradle - plugins : 2 . 0 . 0 - beta5 ' \n,revert the buildozer tests,repo284
SpongeCommon \n - Subproject commit 5f559716cfc3d8180ae0eba03df3ca6611a6bedf \n + Subproject commit dfcc56d09df1d84f64dfe7967c77931f548d4c12 \n,bump common ref,repo995
packages / SystemUI / src / com / android / systemui / statusbar / stack / NotificationStackScrollLayout . java \n - applyCurrentState ( ) ; \n + updateChildren ( ) ; \n,Fixed a bug where the notification scroller could crash .,repo67
Binary files a / link - rus / img / non - proprietary . png and b / link - rus / img / non - proprietary . png differ \n,JAL - 35 Add image notes to non - proprietary licenses,repo245
bigbluebutton - html5 / app / server / collection_methods / meetings . coffee \n + deskshare : { } \n,Add deskshare object to meetings,repo428
new file \n Binary files / dev / null and b / portal - web / docroot / html / themes / _unstyled / images / common / sharing . png differ \n,LEP - 6067 - Consolidating the Sharing links ( forgot the actual sharing image . . . ),repo934
"gradle / publish . gradle \n + onlyIf { ! project . hasProperty ( "" noUpload "" ) } \n + \n",Don ' t upload anything if - PnoUpload ( helpful for testing promotion build ) .,repo109
new file \n Binary files / dev / null and b / GreenDroid / resources / gd_page_indicator_dot . psd differ \n new file \n Binary files / dev / null and b / GreenDroid / resources / segmented_bar . psd differ \n,Add PSD for GreenDroid,repo214
README . md \n - < td > svn revision 47 < / td > \n + < td > 3 . 0 . 1 < / td > \n,Correct the version of jsr305 in README . md,repo215
netty / src / main / java / io / grpc / netty / NettyChannelBuilder . java \n - private NettyChannelBuilder ( String target ) { \n + protected NettyChannelBuilder ( String target ) { \n,Raise visibility of Netty Channel Builder Ctor,repo328
new file \n backends / gdx - backends - gwt / src / com / badlogic / gdx / backends / gwt / emu / java / io / FileFilter . java \n + package java . io ; \n + \n + public interface FileFilter { \n + \n + boolean accept ( File file ) ; \n + \n + } \n,Emulate FileFilter,repo21
core / java / android / webkit / FindActionModeCallback . java \n - mMatches . setVisibility ( View . INVISIBLE ) ; \n + mMatches . setVisibility ( View . GONE ) ; \n,"Fix for truncated sentence in "" Find on Page "" field",repo67
HelloWorldEclipse / src / com / googlecode / androidannotations / helloworldeclipse / MyActivity . java \n - \n,remove blank line,repo25
README . md \n - compile ' com . blankj : utilcode : 1 . 1 . 2 ' \n + compile ' com . blankj : utilcode : 1 . 1 . 3 ' \n,see 08 / 22 log,repo100
Binary files a / astrid / res / drawable / widget_frame . 9 . png and b / astrid / res / drawable / widget_frame . 9 . png differ \n,updated widget frame 9 patch,repo835
pom . xml \n + < contributor > \n + < name > John Wagenleitner < / name > \n + < email > < / email > \n + < / contributor > \n,Added John Wagenleitner to the contributors,repo565
library / build . gradle \n - compile ' com . squareup . okhttp3 : okhttp : 3 . 1 . 2 ' \n + compile ' com . squareup . okhttp3 : okhttp : 3 . 2 . 0 ' \n,upgrade okhttp 3 . 1 . 2 - > 3 . 2 . 0,repo241
